origem,destino
0,223
0,947
0,1118
0,1264
0,1300
0,3991
0,5131
0,5759
0,8405
0,9762
1,1820
1,5345
1,5400
1,5525
1,5665
1,5733
1,5922
1,5997
1,6085
1,7197
1,9824
2,137
2,533
2,1200
2,2203
2,4649
2,6704
2,7671
3,567
3,1205
3,1576
3,1777
3,2292
3,3549
3,4566
3,5475
3,7730
3,7751
3,7897
3,8070
3,8225
3,8790
4,1
4,2925
4,3354
4,3359
4,5511
4,6693
4,7032
4,8200
4,8976
5,96
5,623
5,856
5,3459
5,5779
5,7425
5,7586
5,8187
6,292
6,2159
6,5319
6,6115
6,6851
6,7455
6,7833
6,8236
7,1015
7,1275
7,2890
7,4938
7,5326
7,6302
7,8043
7,9267
8,2372
8,4269
8,5268
8,5754
8,6010
8,7133
8,8025
8,8205
8,8919
9,84
9,1128
9,1896
9,2244
9,3959
9,4225
9,5838
9,9180
10,60
10,1035
10,1589
10,1599
10,1862
10,4689
10,4916
10,5451
10,5552
10,5567
10,6665
10,8289
11,161
11,3747
11,6306
12,444
12,799
12,1070
12,2162
12,2559
12,3507
12,3948
12,4435
12,6249
12,6988
12,7576
12,7855
12,8674
13,238
13,2360
13,2555
13,2878
13,3080
13,3635
13,4426
13,7491
13,8281
14,2031
14,2291
14,3286
14,3600
14,3728
14,3788
14,4133
14,6086
14,7489
14,7581
14,9334
15,47
15,650
15,2504
15,2648
15,2731
15,3096
15,3889
15,4259
15,4991
15,7216
15,7252
15,7679
15,9149
15,9700
16,1150
16,3038
16,3739
16,4205
16,4909
16,5141
16,5753
16,6138
16,6202
16,7711
16,9398
17,1009
17,2219
17,3770
17,4053
17,4692
17,5187
17,5245
17,6362
17,6370
17,6539
17,7092
17,7745
17,7970
17,8382
17,8853
17,9651
18,551
18,1836
18,2125
18,2156
18,3321
18,5376
18,5955
18,5958
18,6296
18,7094
18,8089
18,8124
18,8416
18,8555
18,8869
18,9395
19,737
19,948
19,1285
19,3386
19,3585
19,4836
19,5465
19,6119
19,6306
19,7972
19,8551
19,9153
19,9328
19,9909
20,461
20,1792
20,1886
20,2026
20,6129
20,7540
20,7694
20,8096
20,8572
20,9930
21,1204
21,1698
21,3340
21,3595
21,4286
21,4301
21,5141
21,7021
21,7286
21,7608
21,8501
21,9071
22,809
22,2764
22,5336
22,6130
22,6132
22,7289
22,9445
22,9512
23,633
23,2093
23,2443
23,2924
23,8463
23,8596
23,9208
23,9354
23,9754
24,7638
24,9009
24,9032
24,9288
25,2789
25,2913
25,3040
25,6174
25,6446
25,6954
25,7832
25,9566
26,335
26,659
26,1951
26,9244
26,9359
27,38
27,1691
27,2257
27,2627
